115, 79, , , , 1000007, 1000024, 1000041, 1000058, 
116, 80, , , , 1000008, 1000025, 1000042, 1000059, 
117, 81, , , , 1000009, 1000026, 1000043, 1000060, 
118, 82, , , , 1000010, 1000027, 1000044, 1000061, 
119, 83, , , , 1000011, 1000028, 1000045, 1000062, 
120, 92, , , , 1000012, 1000029, 1000046, 1000063, 
121, 93, , , , 1000013, 1000030, 1000047, 1000064, 
122, 94, , , , 1000014, 1000031, 1000048, 1000065, 
123, 95, , , , 1000015, 1000032, 1000049, 1000066, 
124, 96, , , , 1000016, 1000033, 1000050, 1000067, 
125, 97, , , , 1000017, 1000034, 1000051, 1000068, 
126, 0, , , , 1000072, 1000035, 1000052, 1000069, 
127, 1, 2, , , 1000073, 1000018, 1000053, 1000070, 
128, 2, 3, 4, , 1000074, 1000017, 1000036, 1000071, 
129, 3, 4, 5, 6, 1000075, 1000017, 1000035, 1000054, 
130, 4, 5, 6, 7, 1000076, 1000017, 1000035, 1000053, 
131, 5, 6, 7, 8, 1000077, 1000017, 1000035, 1000053, 
132, 14, 7, 8, 9, 1000078, 1000017, 1000035, 1000053, 
133, 15, 16, 9, 10, 1000079, 1000017, 1000035, 1000053, 
134, 16, 17, 18, 11, 1000080, 1000017, 1000035, 1000053, 
135, 17, 18, 19, 20, 1000081, 1000017, 1000035, 1000053, 
136, 18, 19, 20, 21, 1000082, 1000017, 1000035, 1000053, 
137, 19, 20, 21, 22, 1000083, 1000017, 1000035, 1000053, 
138, 28, 21, 22, 23, 1000084, 1000017, 1000035, 1000053, 
139, 29, 30, 23, 24, 1000085, 1000017, 1000035, 1000053, 
140, 30, 31, 32, 25, 1000086, 1000017, 1000035, 1000053, 
141, 31, 32, 33, 34, 1000087, 1000017, 1000035, 1000053, 
142, 32, 33, 34, 35, 1000088, 1000017, 1000035, 1000053, 
143, 33, 34, 35, 36, 1000089, 1000017, 1000035, 1000053, 
144, 8, 35, 36, 37, 1000072, 1000017, 1000035, 1000053, 
145, 9, 14, 37, 38, 1000073, 1000017, 1000035, 1000053, 
146, 10, 15, 16, 39, 1000074, 1000017, 1000035, 1000053, 
147, 11, 16, 17, 18, 1000075, 1000017, 1000035, 1000053, 
148, 12, 17, 18, 19, 1000076, 1000017, 1000035, 1000053, 
149, 13, 18, 19, 20, 1000077, 1000017, 1000035, 1000053, 
150, 22, 19, 20, 21, 1000078, 1000017, 1000035, 1000053, 
151, 23, 28, 21, 22, 1000079, 1000017, 1000035, 1000053, 
152, 24, 29, 30, 23, 1000080, 1000017, 1000035, 1000053, 
153, 25, 30, 31, 32, 1000081, 1000017, 1000035, 1000053, 
154, 26, 31, 32, 33, 1000082, 1000017, 1000035, 1000053, 
155, 27, 32, 33, 34, 1000083, 1000017, 1000035, 1000053, 
156, 36, 33, 34, 35, 1000084, 1000017, 1000035, 1000053, 
157, 37, 42, 35, 36, 1000085, 1000017, 1000035, 1000053, 
158, 38, 43, 44, 37, 1000086, 1000017, 1000035, 1000053, 
159, 39, 44, 45, 46, 1000087, 1000017, 1000035, 1000053, 
160, 40, 45, 46, 47, 1000088, 1000017, 1000035, 1000053, 
161, 41, 46, 47, 48, 1000089, 1000017, 1000035, 1000053, 
162, 20, 47, 48, 49, 1000072, 1000017, 1000035, 1000053, 
163, 21, 22, 49, 50, 1000073, 1000017, 1000035, 1000053, 
164, 22, 23, 28, 51, 1000074, 1000017, 1000035, 1000053, 
165, 23, 24, 29, 30, 1000075, 1000017, 1000035, 1000053, 
166, 24, 25, 30, 31, 1000076, 1000017, 1000035, 1000053, 
167, 25, 26, 31, 32, 1000077, 1000017, 1000035, 1000053, 
168, 34, 27, 32, 33, 1000078, 1000017, 1000035, 1000053, 
169, 35, 36, 33, 34, 1000079, 1000017, 1000035, 1000053, 
170, 36, 37, 42, 35, 1000080, 1000017, 1000035, 1000053, 
171, 37, 38, 43, 44, 1000081, 1000017, 1000035, 1000053, 
172, 38, 39, 44, 45, 1000082, 1000017, 1000035, 1000053, 
173, 39, 40, 45, 46, 1000083, 1000017, 1000035, 1000053, 
174, 48, 41, 46, 47, 1000084, 1000017, 1000035, 1000053, 
175, 49, 50, 47, 48, 1000085, 1000017, 1000035, 1000053, 
176, 50, 51, 56, 49, 1000086, 1000017, 1000035, 1000053, 
177, 51, 52, 57, 58, 1000087, 1000017, 1000035, 1000053, 
178, 52, 53, 58, 59, 1000088, 1000017, 1000035, 1000053, 
179, 53, 54, 59, 60, 1000089, 1000017, 1000035, 1000053, 
180, 32, 55, 60, 61, 1000072, 1000017, 1000035, 1000053, 
181, 33, 34, 61, 62, 1000073, 1000017, 1000035, 1000053, 
182, 34, 35, 36, 63, 1000074, 1000017, 1000035, 1000053, 
183, 35, 36, 37, 42, 1000075, 1000017, 1000035, 1000053, 
184, 36, 37, 38, 43, 1000076, 1000017, 1000035, 1000053, 
185, 37, 38, 39, 44, 1000077, 1000017, 1000035, 1000053, 
186, 46, 39, 40, 45, 1000078, 1000017, 1000035, 1000053, 
187, 47, 48, 41, 46, 1000079, 1000017, 1000035, 1000053, 
